average error,precision,recal,i,j,epoch
0.032861703,0.571801567,0.771126761,15,55,20
0.046117659,0.509090909,0.098591549,15,55,30
0.037508543,0.569358178,0.968309859,15,55,40
0.036328918,0.519480519,0.14084507,15,55,50
0.035085627,0.579175705,0.940140845,15,55,60
0.036843859,0.457142857,0.056338028,15,55,70
0.036646397,0.570841889,0.978873239,15,55,80
0.037286685,0.572597137,0.985915493,15,55,90
0.036398232,0.579741379,0.947183099,15,60,10
0.034502544,0.553191489,0.549295775,15,60,20
0.036981027,0.461538462,0.021126761,15,60,30
0.033783969,0.541666667,0.274647887,15,60,40
0.033749164,0.556074766,0.419014085,15,60,50
0.035410093,0.566115702,0.964788732,15,60,60
0.037326637,0.573529412,0.961267606,15,60,70
0.03257566,0.566523605,0.929577465,15,60,80
0.035770606,0.572016461,0.978873239,15,60,90
0.034871475,0.576519916,0.968309859,15,65,10
0.040259303,0.57231405,0.975352113,15,65,20
0.033103609,0.536231884,0.26056338,15,65,30
0.03227938,0.561111111,0.711267606,15,65,40
0.032657048,0.553333333,0.584507042,15,65,50
0.034035251,0.572025052,0.964788732,15,65,60
0.037458297,0.454545455,0.070422535,15,65,70
0.036193434,0.565217391,0.183098592,15,65,80
0.034184574,0.576344086,0.943661972,15,65,90
0.035056097,0.565,0.397887324,15,70,10
0.04128,0.391304348,0.031690141,15,70,20
0.035250928,0.526595745,0.348591549,15,70,30
0.0378364,0.568181818,0.968309859,15,70,40
0.034848567,0.577433628,0.919014085,15,70,50
0.037743629,0.572938689,0.954225352,15,70,60
0.033668978,0.556053812,0.436619718,15,70,70
0.033103632,0.56284153,0.362676056,15,70,80
0.03462951,0.561320755,0.419014085,15,70,90
0.041425402,0.569416499,0.996478873,15,75,10
0.033803016,0.517241379,0.316901408,15,75,20
0.034766938,0.565789474,0.757042254,15,75,30
0.034364961,0.573493976,0.838028169,15,75,40
0.034299067,0.52247191,0.327464789,15,75,50
0.037257732,0.583756345,0.404929577,15,75,60
0.036487013,0.572597137,0.985915493,15,75,70
0.036685539,0.568548387,0.992957746,15,75,80
